text,label_dt,key
It's not wise to tell your secrets.,M,1
People see me as a natural leader.,N,1
I like to get revenge on authorities.,P,1
I like to use clever manipulation to get my way.,M,1
I hate being the center of attention.,N,-1
I avoid dangerous situations.,P,-1
"Whatever it takes, you must get the important people on your side.",M,1
Many group activities tend to be dull without me.,N,1
Payback needs to be quick and nasty.,P,1
Avoid direct conflict with others because they may be useful in the future.,M,1
I know that I am special because everyone keeps telling me so,N,1
People often say I'm out of control.,P,1
It's wise to keep track of information that you can use against people later,M,1
I like to get acquainted with important people.,N,1
It's true that I can be mean to others.,P,1
You should wait for the right time to get back at people.,M,1
I feel embarrassed if someone compliments me.,N,-1
People who mess with me always regret it.,P,1
There are things you should hide from other people to preserve your reputation.,M,1
I have been compared to famous people.,N,1
I have never gotten into trouble with the law.,P,-1
"Make sure your plans benefit yourself, not others.",M,1
I am an average person.,N,-1
I enjoy having sex with people I hardly know,P,1
Most people can be manipulated.,M,1
I insist on getting the respect I deserve,N,1
I'll say anything to get what I want.,P,1